TIERSLU;Material;Material description;Date from;Date until;Despatch qty.;Unit;Cum. quantity;Libelle client
NPL;UNKNOWN;UNKNOWN;30.04.2025;30.04.2025;120660.00;PCE;8192053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;02.06.2025;02.06.2025;0.00;PCE;8192053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;16.06.2025;16.06.2025;10000.00;PCE;8202053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;23.06.2025;23.06.2025;40000.00;PCE;8242053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;30.06.2025;30.06.2025;35000.00;PCE;8277053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;07.07.2025;07.07.2025;40000.00;PCE;8317053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;14.07.2025;14.07.2025;35000.00;PCE;8352053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;21.07.2025;21.07.2025;40000.00;PCE;8392053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;28.07.2025;28.07.2025;15000.00;PCE;8407053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;11.08.2025;11.08.2025;25000.00;PCE;8432053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;18.08.2025;18.08.2025;35000.00;PCE;8467053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;25.08.2025;25.08.2025;40000.00;PCE;8507053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;01.09.2025;01.09.2025;50000.00;PCE;8557053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;08.09.2025;08.09.2025;40000.00;PCE;8597053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;15.09.2025;15.09.2025;40000.00;PCE;8637053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;22.09.2025;22.09.2025;45000.00;PCE;8682053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;29.09.2025;29.09.2025;35000.00;PCE;8717053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;06.10.2025;06.10.2025;35000.00;PCE;8752053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;13.10.2025;13.10.2025;35000.00;PCE;8787053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;20.10.2025;20.10.2025;40000.00;PCE;8827053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;27.10.2025;27.10.2025;30000.00;PCE;8857053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;03.11.2025;03.11.2025;30000.00;PCE;8887053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;10.11.2025;10.11.2025;35000.00;PCE;8922053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;17.11.2025;17.11.2025;30000.00;PCE;8952053.00;Nidec Poland
