Client name;Delivery date;Pickup date;Quantity;EFZ;Difference;Commitment level;AVO Material No;Client Material No;Print date
Bosch China;08.05.25;;142750;18758612;18758612,000;Fix;1026644;1394320515;02.06.25
Bosch China;15.05.25;;0;18758612;0,000;Fix;1026644;1394320515;02.06.25
Bosch China;22.05.25;;0;18758612;0,000;Fix;1026644;1394320515;02.06.25
Bosch China;29.05.25;;70000;18828612;70000,000;Fix;1026644;1394320515;02.06.25
Bosch China;12.06.25;;70000;18898612;70000,000;Material;1026644;1394320515;02.06.25
Bosch China;19.06.25;;70000;18968612;70000,000;Material;1026644;1394320515;02.06.25
Bosch China;03.07.25;;70000;19038612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;17.07.25;;70000;19108612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;24.07.25;;70000;19178612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;31.07.25;;0;19178612;0,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;07.08.25;;70000;19248612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;21.08.25;;70000;19318612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;04.09.25;;70000;19388612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;11.09.25;;70000;19458612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;25.09.25;;70000;19528612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;02.10.25;;0;19528612;0,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;09.10.25;;70000;19598612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;16.10.25;;0;19598612;0,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;23.10.25;;70000;19668612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;30.10.25;;0;19668612;0,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;06.11.25;;70000;19738612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;20.11.25;;70000;19808612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;27.11.25;;70000;19878612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;04.12.25;;0;19878612;0,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;11.12.25;;70000;19948612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;18.12.25;;0;19948612;0,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;25.12.25;;70000;20018612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;08.01.26;;70000;20088612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;22.01.26;;70000;20158612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;05.02.26;;210000;20368612;210000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;12.03.26;;140000;20508612;140000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;09.04.26;;140000;20648612;140000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;07.05.26;;140000;20788612;140000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;11.06.26;;210000;20998612;210000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;09.07.26;;140000;21138612;140000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;06.08.26;;140000;21278612;140000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;10.09.26;;210000;21488612;210000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;08.10.26;;140000;21628612;140000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;05.11.26;;140000;21768612;140000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;10.12.26;;140000;21908612;140000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;07.01.27;;140000;22048612;140000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;04.02.27;;70000;22118612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;11.03.27;;140000;22258612;140000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;08.04.27;;70000;22328612;70000,000;Vorschau;1026644;1394320515;02.06.25
Bosch China;06.05.27;;8255;22336867;8255,000;Vorschau;1026644;1394320515;02.06.25
