Libelle client;Client Material No;AVO Material No;Material description;Date from;Date until;Despatch qty.;Unit;Cum. quantity
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;30.04.2025;;120660.00;PCE;8192053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;16.06.2025;;10000.00;PCE;8202053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;23.06.2025;;40000.00;PCE;8242053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;30.06.2025;;40000.00;PCE;8282053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;07.07.2025;;35000.00;PCE;8317053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;14.07.2025;;40000.00;PCE;8357053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;21.07.2025;;35000.00;PCE;8392053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;28.07.2025;;15000.00;PCE;8407053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;11.08.2025;;25000.00;PCE;8432053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;18.08.2025;;35000.00;PCE;8467053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;25.08.2025;;25000.00;PCE;8492053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;01.09.2025;;30000.00;PCE;8522053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;08.09.2025;;35000.00;PCE;8557053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;15.09.2025;;30000.00;PCE;8587053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;22.09.2025;;30000.00;PCE;8617053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;29.09.2025;;25000.00;PCE;8642053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;06.10.2025;;30000.00;PCE;8672053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;13.10.2025;;30000.00;PCE;8702053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;20.10.2025;;35000.00;PCE;8737053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;27.10.2025;;30000.00;PCE;8767053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;03.11.2025;;35000.00;PCE;8802053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;10.11.2025;;35000.00;PCE;8837053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;17.11.2025;;30000.00;PCE;8867053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;24.11.2025;;30000.00;PCE;8897053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;01.12.2025;;35000.00;PCE;8932053.00
