Libelle client;Client Material No;AVO Material No;Material description;Date from;Date until;Despatch qty.;Unit;Cum. quantity
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;08.12.2025;;15000.00;PCE;8947053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;15.12.2025;;55000.00;PCE;9002053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;29.12.2025;;25000.00;PCE;9027053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;26.01.2026;;10000.00;PCE;9037053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;02.02.2026;;30000.00;PCE;9067053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;09.02.2026;;30000.00;PCE;9097053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;16.02.2026;;20000.00;PCE;9117053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;23.02.2026;;25000.00;PCE;9142053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;02.03.2026;;25000.00;PCE;9167053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;09.03.2026;;20000.00;PCE;9187053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;16.03.2026;;25000.00;PCE;9212053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;30.04.2025;;120660.00;PCE;8192053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;23.03.2026;;15000.00;PCE;9227053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;30.03.2026;;25000.00;PCE;9252053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;07.04.2026;;25000.00;PCE;9277053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;13.04.2026;;15000.00;PCE;9292053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;20.04.2026;;25000.00;PCE;9317053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;27.04.2026;;25000.00;PCE;9342053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;04.05.2026;;25000.00;PCE;9367053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;11.05.2026;;30000.00;PCE;9397053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;18.05.2026;;10000.00;PCE;9407053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;25.05.2026;;20000.00;PCE;9427053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;01.06.2026;;15000.00;PCE;9442053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;08.06.2026;;20000.00;PCE;9462053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;15.06.2026;;25000.00;PCE;9487053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;22.06.2026;;30000.00;PCE;9517053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;29.06.2026;;30000.00;PCE;9547053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;06.07.2026;;25000.00;PCE;9572053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;13.07.2026;;30000.00;PCE;9602053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;20.07.2026;;10000.00;PCE;9612053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;27.07.2026;;10000.00;PCE;9622053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;03.08.2026;;10000.00;PCE;9632053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;10.08.2026;;10000.00;PCE;9642053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;17.08.2026;;5000.00;PCE;9647053.00
Nidec Poland;503-660-99-99;1027700;CARBON BRUSH;12.10.2026;;5000.00;PCE;9652053.00
