TIERSLU;Material;Material description;Date from;Date until;Despatch qty.;Unit;Cum. quantity;Libelle client
NPL;503-660-99-99;CARBON BRUSHC;23.03.2026;23.03.2026;20000.00;PCE;9302053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;30.03.2026;30.03.2026;20000.00;PCE;9322053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;07.04.2026;07.04.2026;25000.00;PCE;9347053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;13.04.2026;13.04.2026;20000.00;PCE;9367053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;20.04.2026;20.04.2026;25000.00;PCE;9392053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;27.04.2026;27.04.2026;25000.00;PCE;9417053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;04.05.2026;04.05.2026;25000.00;PCE;9442053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;11.05.2026;11.05.2026;25000.00;PCE;9467053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;18.05.2026;18.05.2026;15000.00;PCE;9482053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;25.05.2026;25.05.2026;15000.00;PCE;9497053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;01.06.2026;01.06.2026;20000.00;PCE;9517053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;08.06.2026;08.06.2026;15000.00;PCE;9532053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;15.06.2026;15.06.2026;25000.00;PCE;9557053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;22.06.2026;22.06.2026;30000.00;PCE;9587053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;29.06.2026;29.06.2026;30000.00;PCE;9617053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;06.07.2026;06.07.2026;30000.00;PCE;9647053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;13.07.2026;13.07.2026;30000.00;PCE;9677053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;20.07.2026;20.07.2026;10000.00;PCE;9687053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;27.07.2026;27.07.2026;10000.00;PCE;9697053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;03.08.2026;03.08.2026;10000.00;PCE;9707053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;10.08.2026;10.08.2026;10000.00;PCE;9717053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;05.10.2026;05.10.2026;5000.00;PCE;9722053.00;Nidec Poland
