TIERSLU;Material;Material description;Date from;Date until;Despatch qty.;Unit;Cum. quantity;Libelle client
NPL;503-660-99-99;CARBON BRUSHC;30.04.2025;30.04.2025;120660.00;PCE;8192053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;02.06.2025;02.06.2025;0.00;PCE;8192053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;16.06.2025;16.06.2025;10000.00;PCE;8202053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;23.06.2025;23.06.2025;40000.00;PCE;8242053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;30.06.2025;30.06.2025;35000.00;PCE;8277053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;07.07.2025;07.07.2025;40000.00;PCE;8317053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;14.07.2025;14.07.2025;35000.00;PCE;8352053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;21.07.2025;21.07.2025;40000.00;PCE;8392053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;28.07.2025;28.07.2025;15000.00;PCE;8407053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;11.08.2025;11.08.2025;25000.00;PCE;8432053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;18.08.2025;18.08.2025;35000.00;PCE;8467053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;25.08.2025;25.08.2025;40000.00;PCE;8507053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;01.09.2025;01.09.2025;50000.00;PCE;8557053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;08.09.2025;08.09.2025;40000.00;PCE;8597053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;15.09.2025;15.09.2025;40000.00;PCE;8637053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;22.09.2025;22.09.2025;45000.00;PCE;8682053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;29.09.2025;29.09.2025;35000.00;PCE;8717053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;06.10.2025;06.10.2025;35000.00;PCE;8752053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;13.10.2025;13.10.2025;35000.00;PCE;8787053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;20.10.2025;20.10.2025;40000.00;PCE;8827053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;27.10.2025;27.10.2025;30000.00;PCE;8857053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;03.11.2025;03.11.2025;30000.00;PCE;8887053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;10.11.2025;10.11.2025;35000.00;PCE;8922053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;17.11.2025;17.11.2025;30000.00;PCE;8952053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;24.11.2025;24.11.2025;30000.00;PCE;8982053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;01.12.2025;01.12.2025;30000.00;PCE;9012053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;08.12.2025;08.12.2025;15000.00;PCE;9027053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;15.12.2025;15.12.2025;45000.00;PCE;9072053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;29.12.2025;29.12.2025;30000.00;PCE;9102053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;26.01.2026;26.01.2026;10000.00;PCE;9112053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;02.02.2026;02.02.2026;25000.00;PCE;9137053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;09.02.2026;09.02.2026;30000.00;PCE;9167053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;16.02.2026;16.02.2026;25000.00;PCE;9192053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;23.02.2026;23.02.2026;20000.00;PCE;9212053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;02.03.2026;02.03.2026;25000.00;PCE;9237053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;09.03.2026;09.03.2026;25000.00;PCE;9262053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;30.04.2025;30.04.2025;120660.00;PCE;8192053.00;Nidec Poland
NPL;503-660-99-99;CARBON BRUSHC;16.03.2026;16.03.2026;20000.00;PCE;9282053.00;Nidec Poland
